PubMed ID 	 PubMed Central ID 	 Title 	 Authors 	 Year of Publication 	 Month of Publication 	 Digital Object Identifier 	 conjugation[PIA]
30158920	PMC6104158	Characterization of a Novel blaKLUC Variant With Reduced beta-Lactam Resistance From an IncA/C Group Plasmid in a Clinical Klebsiella pneumoniae Isolate.	Li P,Shen K,Zhang Y,Ying J,Zhu T,Liu Y,Xu L,Lin C,Zhang K,Li P,Lu J,Li K,Yi H,Bao Q,Xu T	2018	08	http://doi.org//10.3389/fmicb.2018.01908	0
30147347	PMC6101002	Detection and characterization of a clinical Escherichia coli ST3204 strain coproducing NDM-16 and MCR-1.	Li X,Mu X,Zhang P,Zhao D,Ji J,Quan J,Zhu Y,Yu Y	2018	08	http://doi.org//10.2147/IDR.S175041	1
30137290	?	Molecular characterization of plasmid-mediated AmpC beta-lactamase- and extended-spectrum beta-lactamase-producing Escherichia coli and Klebsiella pneumoniae among corvids (Corvus brachyrhynchos and Corvus corax) roosting in Canada.	Jamborova I,Janecko N,Halova D,Sedmik J,Mezerova K,Papousek I,Kutilova I,Dolejska M,Cizek A,Literak I	2018	Nov	http://doi.org//10.1093/femsec/fiy166	1
30134844	PMC6106938	Molecular characterization and epidemiology of carbapenem non-susceptible Enterobacteriaceae isolated from the Eastern region of Heilongjiang Province, China.	Gong X,Zhang J,Su S,Fu Y,Bao M,Wang Y,Zhang X	2018	08	http://doi.org//10.1186/s12879-018-3294-3	1
30124905	?	Molecular epidemiology of isolates with multiple mcr plasmids from a pig farm in Great Britain: the effects of colistin withdrawal in the short and long term.	Duggett NA,Randall LP,Horton RA,Lemma F,Kirchner M,Nunez-Garcia J,Brena C,Williamson SM,Teale C,Anjum MF	2018	08	http://doi.org//10.1093/jac/dky292	1
30119674	PMC6098629	A novel method for transforming the thermophilic bacterium Geobacillus kaustophilus.	Miyano M,Tanaka K,Ishikawa S,Mori K,Miguel-Arribas A,Meijer WJJ,Yoshida KI	2018	08	http://doi.org//10.1186/s12934-018-0969-9	1
30090095	PMC6068390	Simultaneous Carriage of mcr-1 and Other Antimicrobial Resistance Determinants in Escherichia coli From Poultry.	Dominguez JE,Redondo LM,Figueroa Espinosa RA,Cejas D,Gutkind GO,Chacana PA,Di Conza JA,Fernandez Miyakawa ME	2018	07	http://doi.org//10.3389/fmicb.2018.01679	0
30071355	?	Carbapenem resistance in bacteria isolated from soil and water environments in Algeria.	Djenadi K,Zhang L,Murray AK,Gaze WH	2018	07	http://doi.org//10.1016/j.jgar.2018.07.013	1
30064751	?	Synthesis and antimicrobial activities of novel sorbic and benzoic acid amide derivatives.	Wei Q,Wang X,Cheng JH,Zeng G,Sun DW	2018	06	http://doi.org//10.1016/j.foodchem.2018.06.071	1
30057179	?	Ultrasonication assisted fabrication of l-lysine functionalized gadolinium oxide nanoparticles and its biological acceptability.	Aashima,Pandey SK,Singh S,Mehta SK	2018	07	http://doi.org//10.1016/j.ultsonch.2018.07.016	1
30056072	?	SKIK-zipbody-alkaline phosphatase, a novel antibody fusion protein expressed in Escherichia coli cytoplasm.	Ritthisan P,Ojima-Kato T,Damnjanovic J,Kojima T,Nakano H	2018	07	http://doi.org//10.1016/j.jbiosc.2018.06.009	1
30055976	?	Core elements of the vegetative replication control of the Inc1 plasmid pO104_90 of Escherichia coli O104:H4 also regulate its transfer frequency.	Berger M,Berger P,Denamur E,Mellmann A,Dobrindt U	2018	07	http://doi.org//10.1016/j.ijmm.2018.07.003	1
30055314	?	The anticonvulsant and anti-plasmid conjugation potential of Thymus vulgaris chemistry: An in vivo murine and in vitro study.	Skalicka-Wozniak K,Walasek M,Aljarba TM,Stapleton P,Gibbons S,Xiao J,Luszczki JJ	2018	07	http://doi.org//10.1016/j.fct.2018.07.045	0
30047596	?	Directed Evolution of a Bond-Forming Enzyme: Ultrahigh-Throughput Screening of Microbial Transglutaminase Using Yeast Surface Display.	Deweid L,Neureiter L,Englert S,Schneider H,Deweid J,Yanakieva D,Sturm J,Bitsch S,Christmann A,Avrutina O,Fuchsbauer HL,Kolmar H	2018	07	http://doi.org//10.1002/chem.201803485	1
30043621	?	Transmissible silver resistance readily evolves in high-risk clone isolates of Klebsiella pneumoniae.	Hanczvikkel A,Fuzi M,Ungvari E,Toth A	2018	07	http://doi.org//10.1556/030.65.2018.031	1
30038606	PMC6046403	Comparative Genomics of Escherichia coli Sequence Type 219 Clones From the Same Patient: Evolution of the IncI1 blaCMY-Carrying Plasmid in Vivo.	Kao CY,Chen JW,Liu TL,Yan JJ,Wu JJ	2018	07	http://doi.org//10.3389/fmicb.2018.01518	0
30036828	?	Fabrication of pure and moxifloxacin functionalized silver oxide nanoparticles for photocatalytic and antimicrobial activity.	Haq S,Rehman W,Waseem M,Meynen V,Awan SU,Saeed S,Iqbal N	2018	07	http://doi.org//10.1016/j.jphotobiol.2018.07.011	1
30028591	PMC6158681	Engineering a Rugged Nanoscaffold To Enhance Plug-and-Display Vaccination.	Bruun TUJ,Andersson AC,Draper SJ,Howarth M	2018	07	http://doi.org//10.1021/acsnano.8b02805	1
30028475	?	Detection of ST1702 Escherichia coli blaNDM-5 and blaCMY-42 genes positive isolates from a Northern Italian hospital.	Piazza A,Comandatore F,Romeri F,Pagani C,Mattioni Marchetti V,Brilli M,Panelli S,Migliavacca R,Ridolfo A,Olivieri P,Gismondo MR,Bandi C,Rimoldi SG	2018	07	http://doi.org//?	1
30022749	?	Spread and Persistence of Virulence and Antibiotic Resistance Genes: A Ride on the F Plasmid Conjugation Module.	Koraimann G	2018	Jul	http://doi.org//10.1128/ecosalplus.ESP-0003-2018	1
30010911	?	Co-harboring of cephalosporin (bla)/colistin (mcr) resistance genes among Enterobacteriaceae from flies in Thailand.	Fukuda A,Usui M,Okubo T,Tagaki C,Sukpanyatham N,Tamura Y	2018	07	http://doi.org//10.1093/femsle/fny178	1
29998411	?	Copper and palladium nanostructures: a bacteriogenic approach.	Ghosh S	2018	07	http://doi.org//10.1007/s00253-018-9180-5	1
29984669	?	Screening and potential of the incidence of resistance transfer among the multidrug and heavy metal resistant Gram negative isolates from hospital effluents of northern India.	Alam M,Imran M	2018	07	http://doi.org//10.2174/1574891X13666180702111330	1
29968176	?	Evaluation of a reducible disulfide linker for siderophore-mediated delivery of antibiotics.	Neumann W,Nolan EM	2018	07	http://doi.org//10.1007/s00775-018-1588-y	1
29967949	?	Dialysis assisted ligand exchange on gold nanorods: Amplification of the performance of a lateral flow immunoassay for E. coli O157:H7.	Tao Y,Yang J,Chen L,Huang Y,Qiu B,Guo L,Lin Z	2018	07	http://doi.org//10.1007/s00604-018-2897-0	1
29967024	PMC6125513	Gold Nanoparticle-Conjugated Cinnamic Acid Exhibits Antiacanthamoebic and Antibacterial Properties.	Anwar A,Siddiqui R,Shah MR,Khan NA	2018	08	http://doi.org//10.1128/AAC.00630-18	0
29966652	?	The interaction of TraW and TrbC is required to facilitate conjugation in F-like plasmids.	Shala-Lawrence A,Bragagnolo N,Nowroozi-Dayeni R,Kheyson S,Audette GF	2018	07	http://doi.org//10.1016/j.bbrc.2018.06.166	1
29957827	?	Dynamics of antibiotic resistance with special reference to Shiga toxin-producing Escherichia coli infections.	Begum J,Mir NA,Dev K,Khan IA	2018	06	http://doi.org//10.1111/jam.14034	1
29950424	PMC6146701	Geminivirus Replication protein impairs SUMO conjugation of PCNA at two acceptor sites.	Arroyo-Mateos M,Sabarit B,Maio F,Sanchez-Duran MA,Rosas-Diaz T,Prins M,Ruiz-Albert J,Luna AP,van den Burg HA,Bejarano ER	2018	06	http://doi.org//10.1128/JVI.00611-18	1
29944954	?	Identification of CFE-2, a new plasmid-encoded AmpC beta-lactamase from a clinical isolate of Citrobacter freundii.	Chen CM,Huang M,Wu HJ,Guo MK,Wu LT	2018	06	http://doi.org//10.1016/j.ijantimicag.2018.06.013	1
29930039	PMC6013617	Complete Genome Sequence of Escherichia coli ME8067, an Azide-Resistant Laboratory Strain Used for Conjugation Experiments.	Matsumura Y,Yamamoto M,Nakano S,Nagao M	2018	06	http://doi.org//10.1128/genomeA.00515-18	1
29927244	?	Insights into the Kinetics of the Resistance Formation of Bacteria against Ciprofloxacin Poly(2-methyl-2-oxazoline) Conjugates.	Schmidt M,Romanovska A,Wolf Y,Nguyen TD,Krupp A,Tumbrink HL,Lategahn J,Volmer J,Rauh D,Luetz S,Krumm C,Tiller JC	2018	07	http://doi.org//10.1021/acs.bioconjchem.8b00361	1
29922243	PMC5996929	A Novel mcr-1 Variant Carried by an IncI2-Type Plasmid Identified From a Multidrug Resistant Enterotoxigenic Escherichia coli.	Liu H,Zhu B,Liang B,Xu X,Qiu S,Jia L,Li P,Yang L,Li Y,Xiang Y,Xie J,Wang L,Yang C,Sun Y,Song H	2018	04	http://doi.org//10.3389/fmicb.2018.00815	1
29912417	?	Novel plasmid-mediated colistin resistance gene mcr-7.1 in Klebsiella pneumoniae.	Yang YQ,Li YX,Lei CW,Zhang AY,Wang HN	2018	04	http://doi.org//10.1093/jac/dky111	1
29912252	?	[qnr genes in Enterobacteriaceae isolated from at a hospital in Venezuela].	Garcia J,Martinez D,Cana L,Gonzalez D,Rodriguez L,Rodulfo H,Donato M,Guzman M	2018	Apr	http://doi.org//10.4067/s0716-10182018000200147	1
29910786	PMC5992273	Characteristics of Carbapenem-Resistant Enterobacteriaceae in Ready-to-Eat Vegetables in China.	Liu BT,Zhang XY,Wan SW,Hao JJ,Jiang RD,Song FJ	2018	06	http://doi.org//10.3389/fmicb.2018.01147	1
29897616	?	Effects of AttM lactonase on the pathogenicity of Streptomyces scabies.	Lin L,Xu X,Zheng Y,Zhang C	2018	07	http://doi.org//10.1111/lam.13019	1
29892270	PMC5985610	Successful Transfer of a Model T-DNA Plasmid to E. coli Revealed Its Dependence on Recipient RecA and the Preference of VirD2 Relaxase for Eukaryotes Rather Than Bacteria as Recipients.	Ohmine Y,Kiyokawa K,Yunoki K,Yamamoto S,Moriguchi K,Suzuki K	2018	05	http://doi.org//10.3389/fmicb.2018.00895	0
29884129	PMC5994095	Transmating: conjugative transfer of a new broad host range expression vector to various Bacillus species using a single protocol.	Heinze S,Kornberger P,Gratz C,Schwarz WH,Zverlov VV,Liebl W	2018	06	http://doi.org//10.1186/s12866-018-1198-4	1
29862654	?	A Semi-Rationally Engineered Bacterial Pyrrolysyl-tRNA Synthetase Genetically Encodes Phenyl Azide Chemistry.	Fladischer P,Weingartner A,Blamauer J,Darnhofer B,Birner-Gruenberger R,Kardashliev T,Ruff AJ,Schwaneberg U,Wiltschi B	2018	06	http://doi.org//10.1002/biot.201800125	0
29859045	PMC5984740	Risk factors and molecular features of sequence type (ST) 131 extended-Spectrum-beta-lactamase-producing Escherichia coli in community-onset female genital tract infections.	Kim YA,Lee K,Chung JE	2018	06	http://doi.org//10.1186/s12879-018-3168-8	1
29851961	PMC5979007	Influence of the fixation/permeabilization step on peptide nucleic acid fluorescence in situ hybridization (PNA-FISH) for the detection of bacteria.	Rocha R,Almeida C,Azevedo NF	2018	05	http://doi.org//10.1371/journal.pone.0196522	1
29851383	?	Non-covalent binding of nucleic acids with gold nanoparticles provides their stability and effective desorption in environment mimicking biological media.	Epanchintseva A,Dolodoev A,Grigor'eva A,Chelobanov B,Pyshnyi D,Ryabchikova E,Pyshnaya I	2018	05	http://doi.org//10.1088/1361-6528/aac933	1
29808338	?	The Agrobacterium VirB/VirD4 T4SS: Mechanism and Architecture Defined Through In Vivo Mutagenesis and Chimeric Systems.	Li YG,Christie PJ	2018	05	http://doi.org//10.1007/82_2018_94	1
29803035	?	Identification of a bacteriophage from an environmental multidrug-resistant E. coli isolate and its function in horizontal transfer of ARGs.	Wang Q,Zeng X,Yang Q,Yang C	2018	05	http://doi.org//10.1016/j.scitotenv.2018.05.213	1
29798920	PMC5968721	Complete Genome Sequence of Escherichia coli J53, an Azide-Resistant Laboratory Strain Used for Conjugation Experiments.	Matsumura Y,Peirano G,Pitout JDD	2018	05	http://doi.org//10.1128/genomeA.00433-18	1
29793145	?	Mechanistic approach to study conjugation of nanoparticles for biomedical applications.	Uddin I	2018	05	http://doi.org//10.1016/j.saa.2018.05.042	0
29786419	?	Multifunctional, High Molecular Weight, Post-Translationally Modified Proteins through Oxidative Cysteine Coupling and Tyrosine Modification.	Seifried BM,Cao J,Olsen BD	2018	05	http://doi.org//10.1021/acs.bioconjchem.7b00834	1
29784815	?	VirB8 homolog TraE from plasmid pKM101 forms a hexameric ring structure and interacts with the VirB6 homolog TraD.	Casu B,Mary C,Sverzhinsky A,Fouillen A,Nanci A,Baron C	2018	05	http://doi.org//10.1073/pnas.1802501115	0
29778206	?	Occurrence and characterisation of ESBL-encoding plasmids among Escherichia coli isolates from fresh vegetables.	Freitag C,Michael GB,Li J,Kadlec K,Wang Y,Hassel M,Schwarz S	2018	04	http://doi.org//10.1016/j.vetmic.2018.03.028	1
29778190	?	Emergence of the colistin resistance gene mcr-1 and its variant in several uncommon species of Enterobacteriaceae from commercial poultry farm surrounding environments.	Wang X,Wang Y,Wang Y,Zhang S,Shen Z,Wang S	2018	04	http://doi.org//10.1016/j.vetmic.2018.04.002	0
29758886	?	Carrier flies of multidrug-resistant Escherichia coli as potential dissemination agent in dairy farm environment.	Alves TDS,Lara GHB,Maluta RP,Ribeiro MG,Leite DDS	2018	04	http://doi.org//10.1016/j.scitotenv.2018.03.304	1
29755416	PMC5934421	Complete Genomic Analysis of a Salmonella enterica Serovar Typhimurium Isolate Cultured From Ready-to-Eat Pork in China Carrying One Large Plasmid Containing mcr-1.	Wang W,Baloch Z,Zou M,Dong Y,Peng Z,Hu Y,Xu J,Yasmeen N,Li F,Fanning S	2018	04	http://doi.org//10.3389/fmicb.2018.00616	0
29739004	?	Detection of Antibiotic Resistance Determinants and their Transmissibility among Clinically-isolated Carbapenem-resistant Escherichia coli from South India.	Mahalingam N,Manivannan B,Khamari B,Siddaramappa S,Adak S,Bulagonda EP	2018	05	http://doi.org//10.1159/000489885	1
29736984	?	Estimation of the bacteriocin ColE7 conjugation-based "kill" - "anti-kill" antimicrobial system by real-time PCR, fluorescence staining and bioluminescence assays.	Maslennikova IL,Kuznetsova MV,Toplak N,Nekrasova IV,Zgur Bertok D,Starcic Erjavec M	2018	05	http://doi.org//10.1111/lam.12884	1
29727717	?	Coexistence of NDM-1-producing Escherichia coli and Citrobacter freundii in the same patient.	Zhu B,Ying C,Xu H,Ying J	2018	05	http://doi.org//10.1016/j.jgar.2018.04.013	1
29723391	?	In vivo transposon tagging in the nonheterocystous nitrogen-fixing cyanobacterium Leptolyngbya boryana.	Tomatsu C,Uesaka K,Yamakawa H,Tsuchiya T,Ihara K,Fujita Y	2018	05	http://doi.org//10.1002/1873-3468.13079	0
29692961	PMC5910379	Low-intensity ultrasound promotes the horizontal transfer of resistance genes mediated by plasmids in E. coli.	Song L,Wang X,Zhang W,Ye L,Feng X	2018	04	http://doi.org//10.1007/s13205-018-1247-6	1
29692178	?	Living Bacteria-Nanoparticle Hybrids Mediated through Surface-Displayed Peptides.	Dong H,Sarkes DA,Rice JJ,Hurley MM,Fu AJ,Stratis-Cullum DN	2018	05	http://doi.org//10.1021/acs.langmuir.8b00114	1
29687766	?	Identification and prevalence of RND family multidrug efflux pump oqxAB genes in Enterococci isolates from swine manure in China.	Yuan L,Zhai YJ,Wu H,Sun HR,He ZP,Wang YB,Pan YS,Kuang NN,Hu GZ	2018	04	http://doi.org//10.1099/jmm.0.000736	1
29675006	PMC5895649	The Rapid Emergence of Tigecycline Resistance in blaKPC-2 Harboring Klebsiella pneumoniae, as Mediated in Vivo by Mutation in tetA During Tigecycline Treatment.	Du X,He F,Shi Q,Zhao F,Xu J,Fu Y,Yu Y	2018	04	http://doi.org//10.3389/fmicb.2018.00648	1
29644794	?	An Oxidative Bioconjugation Strategy Targeted to a Genetically Encoded 5-Hydroxytryptophan.	Sarathi Addy P,Italia JS,Chatterjee A	2018	06	http://doi.org//10.1002/cbic.201800111	1
29620958	?	Sequence Analysis of IncA/C and IncI1 Plasmids Isolated from Multidrug-Resistant Salmonella Newport Using Single-Molecule Real-Time Sequencing.	Cao G,Allard M,Hoffmann M,Muruvanda T,Luo Y,Payne J,Meng K,Zhao S,McDermott P,Brown E,Meng J	2018	04	http://doi.org//10.1089/fpd.2017.2385	1
29611819	?	Protoporphyrin-IX conjugated cellulose nanofibers that exhibit high antibacterial photodynamic inactivation efficacy.	Dong J,Ghiladi RA,Wang Q,Cai Y,Wei Q	2018	04	http://doi.org//10.1088/1361-6528/aabb3c	1
29599474	PMC5876404	Outer membrane vesicles from beta-lactam-resistant Escherichia coli enable the survival of beta-lactam-susceptible E. coli in the presence of beta-lactam antibiotics.	Kim SW,Park SB,Im SP,Lee JS,Jung JW,Gong TW,Lazarte JMS,Kim J,Seo JS,Kim JH,Song JW,Jung HS,Kim GJ,Lee YJ,Lim SK,Jung TS	2018	03	http://doi.org//10.1038/s41598-018-23656-0	1
29596958	?	Transfer of plasmid into the pentose-fermenting yeast Pachysolen tannophilus.	Mei GY,Bajwa PK,Dashtban M,Ho CY,Lee H	2018	03	http://doi.org//10.1016/j.mimet.2018.03.013	1
29571292	PMC5865355	Genetic contexts related to the diffusion of plasmid-mediated CTX-M-55 extended-spectrum beta-lactamase isolated from Enterobacteriaceae in China.	Hu X,Gou J,Guo X,Cao Z,Li Y,Jiao H,He X,Ren Y,Tian F	2018	03	http://doi.org//10.1186/s12941-018-0265-x	1
29563908	PMC5845868	Occurrence of blaNDM Variants Among Enterobacteriaceae From a Neonatal Intensive Care Unit in a Northern India Hospital.	Ahmad N,Khalid S,Ali SM,Khan AU	2018	03	http://doi.org//10.3389/fmicb.2018.00407	1
29563901	PMC5845874	Genetic Environment of blaTEM-1, blaCTX-M-15, blaCMY-42 and Characterization of Integrons of Escherichia coli Isolated From an Indian Urban Aquatic Environment.	Singh NS,Singhal N,Virdi JS	2018	03	http://doi.org//10.3389/fmicb.2018.00382	0
29556221	PMC5844971	Plasmid-Mediated Quinolone Resistance in Shigella flexneri Isolated From Macaques.	Mannion AJ,Martin HR,Shen Z,Buckley EM,Dzink-Fox JL,Garcia A,Marini RP,Patterson MM,Fox JG	2018	03	http://doi.org//10.3389/fmicb.2018.00311	0
29555731	PMC5889644	Immunization with outer membrane vesicles displaying conserved surface polysaccharide antigen elicits broadly antimicrobial antibodies.	Stevenson TC,Cywes-Bentley C,Moeller TD,Weyant KB,Putnam D,Chang YF,Jones BD,Pier GB,DeLisa MP	2018	03	http://doi.org//10.1073/pnas.1718341115	1
29552655	PMC5851932	Improving acarbose production and eliminating the by-product component C with an efficient genetic manipulation system of Actinoplanes sp. SE50/110.	Zhao Q,Xie H,Peng Y,Wang X,Bai L	2017	11	http://doi.org//10.1016/j.synbio.2017.11.005	1
29548342	PMC5857115	An efficient antimicrobial depot for infectious site-targeted chemo-photothermal therapy.	Liu M,He D,Yang T,Liu W,Mao L,Zhu Y,Wu J,Luo G,Deng J	2018	03	http://doi.org//10.1186/s12951-018-0348-z	1
29542926	?	Total Synthesis of Ripostatin B and Structure-Activity Relationship Studies on Ripostatin Analogs.	Glaus F,Dedic D,Tare P,Nagaraja V,Rodrigues L,Ainsa JA,Kunze J,Schneider G,Hartkoorn RC,Cole ST,Altmann KH	2018	03	http://doi.org//10.1021/acs.joc.8b00193	1
29524495	?	Characterization of the glutathione S-transferases that belong to the GSTFuA class in Ceriporiopsis subvermispora: Implications in intracellular detoxification and metabolism of wood-derived compounds.	Osman WHW,Lin MI,Kondo K,Nagata T,Katahira M	2018	03	http://doi.org//10.1016/j.ijbiomac.2018.03.029	1
29519532	?	High diversity of genes and plasmids encoding resistance to third-generation cephalosporins and quinolones in clinical Escherichia coli from commercial poultry flocks in Italy.	Niero G,Bortolaia V,Vanni M,Intorre L,Guardabassi L,Piccirillo A	2018	02	http://doi.org//10.1016/j.vetmic.2018.02.012	1
29518198	?	Molecular epidemiology of NDM-1- and OXA-48-producing Klebsiella pneumoniae in an Iranian hospital: clonal dissemination of ST11 and ST893.	Solgi H,Badmasti F,Giske CG,Aghamohammad S,Shahcheraghi F	2018	Jun	http://doi.org//10.1093/jac/dky081	1
29505913	?	Occurrence of blaCMY-42 on an IncI1 plasmid in multidrug-resistant Escherichia coli from a tertiary referral hospital in India.	Ingti B,Saikia P,Paul D,Maurya AP,Dhar Chanda D,Chakravarty A,Deshamukhya C,Bhattacharjee A	2018	03	http://doi.org//10.1016/j.jgar.2018.02.021	1
29501823	?	Multidrug-resistant Shigella sonnei carrying the plasmid-mediated mcr-1 gene in China.	Ma Q,Huang Y,Wang J,Xu X,Hawkey J,Yang C,Liang B,Hu X,Wu F,Yang X,Wang J,Li R,Li P,Xie J,Jia L,Wang L,Hao R,Tong Y,Holt KE,Qiu S,Sun Y,Song H	2018	02	http://doi.org//10.1016/j.ijantimicag.2018.02.019	1
29500262	PMC5930361	A Gene Homologous to rRNA Methylase Genes Confers Erythromycin and Clindamycin Resistance in Bifidobacterium breve.	Martinez N,Luque R,Milani C,Ventura M,Banuelos O,Margolles A	2018	05	http://doi.org//10.1128/AEM.02888-17	1
29500254	PMC5881045	Transferable Plasmid-Borne mcr-1 in a Colistin-Resistant Shigella flexneri Isolate.	Liang B,Roberts AP,Xu X,Yang C,Yang X,Wang J,Yi S,Li Y,Ma Q,Wu F,Qiu S,Song H	2018	04	http://doi.org//10.1128/AEM.02655-17	0
29496594	PMC6105362	blaIMP-27 on transferable plasmids in Proteus mirabilis and Providencia rettgeri.	Potter RF,Wallace MA,McMullen AR,Prusa J,Stallings CL,Burnham CAD,Dantas G	2018	03	http://doi.org//10.1016/j.cmi.2018.02.018	1
29477666	?	Evaluation of resistance gene transfer from heat-treated Escherichia coli.	Le Devendec L,Jouy E,Kempf I	2018	02	http://doi.org//10.1016/j.ijfoodmicro.2018.02.019	1
29477117	?	Sub-inhibitory concentrations of heavy metals facilitate the horizontal transfer of plasmid-mediated antibiotic resistance genes in water environment.	Zhang Y,Gu AZ,Cen T,Li X,He M,Li D,Chen J	2018	02	http://doi.org//10.1016/j.envpol.2018.01.032	1
29463604	PMC5892112	Regeneration of Escherichia coli from Minicells through Lateral Gene Transfer.	Kobayashi H	2018	04	http://doi.org//10.1128/JB.00630-17	1
29456528	PMC5801416	Mutation in ESBL Plasmid from Escherichia coli O104:H4 Leads Autoagglutination and Enhanced Plasmid Dissemination.	Poidevin M,Sato M,Altinoglu I,Delaplace M,Sato C,Yamaichi Y	2018	02	http://doi.org//10.3389/fmicb.2018.00130	1
29452198	?	Microbial infection pattern, pathogenic features and resistance mechanism of carbapenem-resistant Gram negative bacilli during long-term hospitalization.	Wen S,Feng D,Lu Z,Liu J,Peters BM,Tang H,Su D,Lin YP,Yang L,Xu Z,Shirtliff ME,Chen D	2018	02	http://doi.org//10.1016/j.micpath.2018.02.025	1
29449175	PMC6112051	Study of pandrug and heavy metal resistance among E. coli from anthropogenically influenced Delhi stretch of river Yamuna.	Azam M,Jan AT,Kumar A,Siddiqui K,Mondal AH,Haq QMR	2018	02	http://doi.org//10.1016/j.bjm.2017.11.001	1
29448503	?	Construction and Characterization of Cell-Penetrating Peptide-Fused Fibroblast Growth Factor and Vascular Endothelial Growth Factor for an Enhanced Percutaneous Delivery System.	Choi SW,Pangeni R,Jung DH,Kim SJ,Park JW	2018	Feb	http://doi.org//10.1166/jnn.2018.14864	1
29448154	?	A serine carboxypeptidase-like acyltransferase catalyzes synthesis of indole-3-acetic (IAA) ester conjugate in rice (Oryza sativa).	Ciarkowska A,Ostrowski M,Jakubowska A	2018	02	http://doi.org//10.1016/j.plaphy.2018.02.007	1
