Title 	 Authors 	 Date of Publication 	 Digital Object Identifier
Molecular epidemiology of isolates with multiple mcr plasmids from a pig farm in Great Britain: the effects of colistin withdrawal in the short and long term.	Duggett NA Randall LP Horton RA Lemma F Kirchner M Nunez-Garcia J Brena C Williamson SM Teale C Anjum MF	2018 Aug 14	5074172 [pii] 10.1093/jac/dky292 [doi]
A novel method for transforming the thermophilic bacterium Geobacillus kaustophilus.	Miyano M Tanaka K Ishikawa S Mori K Miguel-Arribas A Meijer WJJ Yoshida KI	2018 Aug 17	10.1186/s12934-018-0969-9 [doi] 10.1186/s12934-018-0969-9 [pii]
Simultaneous Carriage of mcr-1 and Other Antimicrobial Resistance Determinants in Escherichia coli From Poultry.	Dominguez JE Redondo LM Figueroa Espinosa RA Cejas D Gutkind GO Chacana PA Di Conza JA Fernandez Miyakawa ME	2018	10.3389/fmicb.2018.01679 [doi]
Carbapenem resistance in bacteria isolated from soil and water environments in Algeria.	Djenadi K Zhang L Murray AK Gaze WH	2018 Jul 30	S2213-7165(18)30145-0 [pii] 10.1016/j.jgar.2018.07.013 [doi]
Synthesis and antimicrobial activities of novel sorbic and benzoic acid amide derivatives.	Wei Q Wang X Cheng JH Zeng G Sun DW	2018 Dec 1	S0308-8146(18)31044-6 [pii] 10.1016/j.foodchem.2018.06.071 [doi]
Ultrasonication assisted fabrication of l-lysine functionalized gadolinium oxide nanoparticles and its biological acceptability.	Aashima Pandey SK Singh S Mehta SK	2018 Dec	S1350-4177(18)30736-3 [pii] 10.1016/j.ultsonch.2018.07.016 [doi]
SKIK-zipbody-alkaline phosphatase, a novel antibody fusion protein expressed in Escherichia coli cytoplasm.	Ritthisan P Ojima-Kato T Damnjanovic J Kojima T Nakano H	2018 Jul 25	S1389-1723(18)30174-9 [pii] 10.1016/j.jbiosc.2018.06.009 [doi]
Core elements of the vegetative replication control of the Inc1 plasmid pO104_90 of Escherichia coli O104:H4 also regulate its transfer frequency.	Berger M Berger P Denamur E Mellmann A Dobrindt U	2018 Oct	S1438-4221(18)30230-3 [pii] 10.1016/j.ijmm.2018.07.003 [doi]
The anticonvulsant and anti-plasmid conjugation potential of Thymus vulgaris chemistry: An in vivo murine and in vitro study.	Skalicka-Wozniak K Walasek M Aljarba TM Stapleton P Gibbons S Xiao J Luszczki JJ	2018 Oct	S0278-6915(18)30490-3 [pii] 10.1016/j.fct.2018.07.045 [doi]
Directed Evolution of a Bond-Forming Enzyme: Ultrahigh-Throughput Screening of Microbial Transglutaminase Using Yeast Surface Display.	Deweid L Neureiter L Englert S Schneider H Deweid J Yanakieva D Sturm J Bitsch S Christmann A Avrutina O Fuchsbauer HL Kolmar H	2018 Jul 26	10.1002/chem.201803485 [doi]
Transmissible silver resistance readily evolves in high-risk clone isolates of Klebsiella pneumoniae.	Hanczvikkel A Fuzi M Ungvari E Toth A	2018 Aug 1	10.1556/030.65.2018.031 [doi]
Comparative Genomics of Escherichia coli Sequence Type 219 Clones From the Same Patient: Evolution of the IncI1 blaCMY-Carrying Plasmid in Vivo.	Kao CY Chen JW Liu TL Yan JJ Wu JJ	2018	10.3389/fmicb.2018.01518 [doi]
Fabrication of pure and moxifloxacin functionalized silver oxide nanoparticles for photocatalytic and antimicrobial activity.	Haq S Rehman W Waseem M Meynen V Awan SU Saeed S Iqbal N	2018 Sep	S1011-1344(18)30564-5 [pii] 10.1016/j.jphotobiol.2018.07.011 [doi]
Engineering a Rugged Nanoscaffold To Enhance Plug-and-Display Vaccination.	Bruun TUJ Andersson AC Draper SJ Howarth M	2018 Sep 25	10.1021/acsnano.8b02805 [doi]
Detection of ST1702 Escherichia coli blaNDM-5 and blaCMY-42 genes positive isolates from a Northern Italian hospital.	Piazza A Comandatore F Romeri F Pagani C Mattioni Marchetti V Brilli M Panelli S Migliavacca R Ridolfo A Olivieri P Gismondo MR Bandi C Rimoldi SG	2018 Jul	496N035 [pii]
Spread and Persistence of Virulence and Antibiotic Resistance Genes: A Ride on the F Plasmid Conjugation Module.	Koraimann G	2018 Jul	10.1128/ecosalplus.ESP-0003-2018 [doi]
Co-harboring of cephalosporin (bla)/colistin (mcr) resistance genes among Enterobacteriaceae from flies in Thailand.	Fukuda A Usui M Okubo T Tagaki C Sukpanyatham N Tamura Y	2018 Jul 13	5053807 [pii] 10.1093/femsle/fny178 [doi]
Copper and palladium nanostructures: a bacteriogenic approach.	Ghosh S	2018 Jul 11	10.1007/s00253-018-9180-5 [doi] 10.1007/s00253-018-9180-5 [pii]
Screening and potential of the incidence of resistance transfer among the multidrug and heavy metal resistant Gram negative isolates from hospital effluents of northern India.	Alam M Imran M	2018 Jul 1	PRI-EPUB-91414 [pii] 10.2174/1574891X13666180702111330 [doi]
Evaluation of a reducible disulfide linker for siderophore-mediated delivery of antibiotics.	Neumann W Nolan EM	2018 Jul 2	10.1007/s00775-018-1588-y [doi] 10.1007/s00775-018-1588-y [pii]
Dialysis assisted ligand exchange on gold nanorods: Amplification of the performance of a lateral flow immunoassay for E. coli O157:H7.	Tao Y Yang J Chen L Huang Y Qiu B Guo L Lin Z	2018 Jul 2	10.1007/s00604-018-2897-0 [doi] 10.1007/s00604-018-2897-0 [pii]
Gold Nanoparticle-Conjugated Cinnamic Acid Exhibits Antiacanthamoebic and Antibacterial Properties.	Anwar A Siddiqui R Shah MR Khan NA	2018 Sep	AAC.00630-18 [pii] 10.1128/AAC.00630-18 [doi]
The interaction of TraW and TrbC is required to facilitate conjugation in F-like plasmids.	Shala-Lawrence A Bragagnolo N Nowroozi-Dayeni R Kheyson S Audette GF	2018 Sep 18	S0006-291X(18)31485-2 [pii] 10.1016/j.bbrc.2018.06.166 [doi]
Dynamics of antibiotic resistance with special reference to Shiga toxin-producing Escherichia coli infections.	Begum J Mir NA Dev K Khan IA	2018 Jun 29	10.1111/jam.14034 [doi]
Geminivirus Replication protein impairs SUMO conjugation of PCNA at two acceptor sites.	Arroyo-Mateos M Sabarit B Maio F Sanchez-Duran MA Rosas-Diaz T Prins M Ruiz-Albert J Luna AP van den Burg HA Bejarano ER	2018 Jun 27	JVI.00611-18 [pii] 10.1128/JVI.00611-18 [doi]
Identification of CFE-2, a new plasmid-encoded AmpC beta-lactamase from a clinical isolate of Citrobacter freundii.	Chen CM Huang M Wu HJ Guo MK Wu LT	2018 Sep	S0924-8579(18)30180-8 [pii] 10.1016/j.ijantimicag.2018.06.013 [doi]
Complete Genome Sequence of Escherichia coli ME8067, an Azide-Resistant Laboratory Strain Used for Conjugation Experiments.	Matsumura Y Yamamoto M Nakano S Nagao M	2018 Jun 21	6/25/e00515-18 [pii] 10.1128/genomeA.00515-18 [doi]
Insights into the Kinetics of the Resistance Formation of Bacteria against Ciprofloxacin Poly(2-methyl-2-oxazoline) Conjugates.	Schmidt M Romanovska A Wolf Y Nguyen TD Krupp A Tumbrink HL Lategahn J Volmer J Rauh D Luetz S Krumm C Tiller JC	2018 Aug 15	10.1021/acs.bioconjchem.8b00361 [doi]
A Novel mcr-1 Variant Carried by an IncI2-Type Plasmid Identified From a Multidrug Resistant Enterotoxigenic Escherichia coli.	Liu H Zhu B Liang B Xu X Qiu S Jia L Li P Yang L Li Y Xiang Y Xie J Wang L Yang C Sun Y Song H	2018	10.3389/fmicb.2018.00815 [doi]
Novel plasmid-mediated colistin resistance gene mcr-7.1 in Klebsiella pneumoniae.	Yang YQ Li YX Lei CW Zhang AY Wang HN	2018 Apr 17	4975457 [pii] 10.1093/jac/dky111 [doi]
[qnr genes in Enterobacteriaceae isolated from at a hospital in Venezuela].	Garcia J Martinez D Cana L Gonzalez D Rodriguez L Rodulfo H Donato M Guzman M	2018 Apr	S0716-10182018000200147 [pii] 10.4067/s0716-10182018000200147 [doi]
Characteristics of Carbapenem-Resistant Enterobacteriaceae in Ready-to-Eat Vegetables in China.	Liu BT Zhang XY Wan SW Hao JJ Jiang RD Song FJ	2018	10.3389/fmicb.2018.01147 [doi]
Effects of AttM lactonase on the pathogenicity of Streptomyces scabies.	Lin L Xu X Zheng Y Zhang C	2018 Sep	10.1111/lam.13019 [doi]
Successful Transfer of a Model T-DNA Plasmid to E. coli Revealed Its Dependence on Recipient RecA and the Preference of VirD2 Relaxase for Eukaryotes Rather Than Bacteria as Recipients.	Ohmine Y Kiyokawa K Yunoki K Yamamoto S Moriguchi K Suzuki K	2018	10.3389/fmicb.2018.00895 [doi]
Transmating: conjugative transfer of a new broad host range expression vector to various Bacillus species using a single protocol.	Heinze S Kornberger P Gratz C Schwarz WH Zverlov VV Liebl W	2018 Jun 8	10.1186/s12866-018-1198-4 [doi] 10.1186/s12866-018-1198-4 [pii]
A Semi-Rationally Engineered Bacterial Pyrrolysyl-tRNA Synthetase Genetically Encodes Phenyl Azide Chemistry.	Fladischer P Weingartner A Blamauer J Darnhofer B Birner-Gruenberger R Kardashliev T Ruff AJ Schwaneberg U Wiltschi B	2018 Jun 3	10.1002/biot.201800125 [doi]
Risk factors and molecular features of sequence type (ST) 131 extended-Spectrum-beta-lactamase-producing Escherichia coli in community-onset female genital tract infections.	Kim YA Lee K Chung JE	2018 Jun 1	10.1186/s12879-018-3168-8 [doi] 10.1186/s12879-018-3168-8 [pii]
Influence of the fixation/permeabilization step on peptide nucleic acid fluorescence in situ hybridization (PNA-FISH) for the detection of bacteria.	Rocha R Almeida C Azevedo NF	2018	10.1371/journal.pone.0196522 [doi] PONE-D-18-03474 [pii]
Non-covalent binding of nucleic acids with gold nanoparticles provides their stability and effective desorption in environment mimicking biological media.	Epanchintseva A Dolodoev A Grigor'eva A Chelobanov B Pyshnyi D Ryabchikova E Pyshnaya I	2018 Aug 31	10.1088/1361-6528/aac933 [doi]
The Agrobacterium VirB/VirD4 T4SS: Mechanism and Architecture Defined Through In Vivo Mutagenesis and Chimeric Systems.	Li YG Christie PJ	2018 May 29	10.1007/82_2018_94 [doi]
Identification of a bacteriophage from an environmental multidrug-resistant E. coli isolate and its function in horizontal transfer of ARGs.	Wang Q Zeng X Yang Q Yang C	2018 Oct 15	S0048-9697(18)31864-3 [pii] 10.1016/j.scitotenv.2018.05.213 [doi]
Complete Genome Sequence of Escherichia coli J53, an Azide-Resistant Laboratory Strain Used for Conjugation Experiments.	Matsumura Y Peirano G Pitout JDD	2018 May 24	6/21/e00433-18 [pii] 10.1128/genomeA.00433-18 [doi]
Mechanistic approach to study conjugation of nanoparticles for biomedical applications.	Uddin I	2018 Sep 5	S1386-1425(18)30432-3 [pii] 10.1016/j.saa.2018.05.042 [doi]
Multifunctional, High Molecular Weight, Post-Translationally Modified Proteins through Oxidative Cysteine Coupling and Tyrosine Modification.	Seifried BM Cao J Olsen BD	2018 Jun 20	10.1021/acs.bioconjchem.7b00834 [doi]
VirB8 homolog TraE from plasmid pKM101 forms a hexameric ring structure and interacts with the VirB6 homolog TraD.	Casu B Mary C Sverzhinsky A Fouillen A Nanci A Baron C	2018 Jun 5	1802501115 [pii] 10.1073/pnas.1802501115 [doi]
Occurrence and characterisation of ESBL-encoding plasmids among Escherichia coli isolates from fresh vegetables.	Freitag C Michael GB Li J Kadlec K Wang Y Hassel M Schwarz S	2018 Jun	S0378-1135(18)30137-8 [pii] 10.1016/j.vetmic.2018.03.028 [doi]
Emergence of the colistin resistance gene mcr-1 and its variant in several uncommon species of Enterobacteriaceae from commercial poultry farm surrounding environments.	Wang X Wang Y Wang Y Zhang S Shen Z Wang S	2018 Jun	S0378-1135(18)30261-X [pii] 10.1016/j.vetmic.2018.04.002 [doi]
Carrier flies of multidrug-resistant Escherichia coli as potential dissemination agent in dairy farm environment.	Alves TDS Lara GHB Maluta RP Ribeiro MG Leite DDS	2018 Aug 15	S0048-9697(18)31064-7 [pii] 10.1016/j.scitotenv.2018.03.304 [doi]
Complete Genomic Analysis of a Salmonella enterica Serovar Typhimurium Isolate Cultured From Ready-to-Eat Pork in China Carrying One Large Plasmid Containing mcr-1.	Wang W Baloch Z Zou M Dong Y Peng Z Hu Y Xu J Yasmeen N Li F Fanning S	2018	10.3389/fmicb.2018.00616 [doi]
Detection of Antibiotic Resistance Determinants and their Transmissibility among Clinically-isolated Carbapenem-resistant Escherichia coli from South India.	Mahalingam N Manivannan B Khamari B Siddaramappa S Adak S Bulagonda EP	2018 May 8	000489885 [pii] 10.1159/000489885 [doi]
Estimation of the bacteriocin ColE7 conjugation-based "kill" - "anti-kill" antimicrobial system by real-time PCR, fluorescence staining and bioluminescence assays.	Maslennikova IL Kuznetsova MV Toplak N Nekrasova IV Zgur Bertok D Starcic Erjavec M	2018 Jul	10.1111/lam.12884 [doi]
Coexistence of NDM-1-producing Escherichia coli and Citrobacter freundii in the same patient.	Zhu B Ying C Xu H Ying J	2018 May 1	S2213-7165(18)30080-8 [pii] 10.1016/j.jgar.2018.04.013 [doi]
In vivo transposon tagging in the nonheterocystous nitrogen-fixing cyanobacterium Leptolyngbya boryana.	Tomatsu C Uesaka K Yamakawa H Tsuchiya T Ihara K Fujita Y	2018 May	10.1002/1873-3468.13079 [doi]
Low-intensity ultrasound promotes the horizontal transfer of resistance genes mediated by plasmids in E. coli.	Song L Wang X Zhang W Ye L Feng X	2018 May	10.1007/s13205-018-1247-6 [doi] 1247 [pii]
Living Bacteria-Nanoparticle Hybrids Mediated through Surface-Displayed Peptides.	Dong H Sarkes DA Rice JJ Hurley MM Fu AJ Stratis-Cullum DN	2018 May 22	10.1021/acs.langmuir.8b00114 [doi]
Identification and prevalence of RND family multidrug efflux pump oqxAB genes in Enterococci isolates from swine manure in China.	Yuan L Zhai YJ Wu H Sun HR He ZP Wang YB Pan YS Kuang NN Hu GZ	2018 Jun	10.1099/jmm.0.000736 [doi]
The Rapid Emergence of Tigecycline Resistance in blaKPC-2 Harboring Klebsiella pneumoniae, as Mediated in Vivo by Mutation in tetA During Tigecycline Treatment.	Du X He F Shi Q Zhao F Xu J Fu Y Yu Y	2018	10.3389/fmicb.2018.00648 [doi]
An Oxidative Bioconjugation Strategy Targeted to a Genetically Encoded 5-Hydroxytryptophan.	Sarathi Addy P Italia JS Chatterjee A	2018 Jul 4	10.1002/cbic.201800111 [doi]
Sequence Analysis of IncA/C and IncI1 Plasmids Isolated from Multidrug-Resistant Salmonella Newport Using Single-Molecule Real-Time Sequencing.	Cao G Allard M Hoffmann M Muruvanda T Luo Y Payne J Meng K Zhao S McDermott P Brown E Meng J	2018 Jun	10.1089/fpd.2017.2385 [doi]
Protoporphyrin-IX conjugated cellulose nanofibers that exhibit high antibacterial photodynamic inactivation efficacy.	Dong J Ghiladi RA Wang Q Cai Y Wei Q	2018 Jun 29	10.1088/1361-6528/aabb3c [doi]
Outer membrane vesicles from beta-lactam-resistant Escherichia coli enable the survival of beta-lactam-susceptible E. coli in the presence of beta-lactam antibiotics.	Kim SW Park SB Im SP Lee JS Jung JW Gong TW Lazarte JMS Kim J Seo JS Kim JH Song JW Jung HS Kim GJ Lee YJ Lim SK Jung TS	2018 Mar 29	10.1038/s41598-018-23656-0 [doi] 10.1038/s41598-018-23656-0 [pii]
Transfer of plasmid into the pentose-fermenting yeast Pachysolen tannophilus.	Mei GY Bajwa PK Dashtban M Ho CY Lee H	2018 May	S0167-7012(18)30163-5 [pii] 10.1016/j.mimet.2018.03.013 [doi]
Genetic contexts related to the diffusion of plasmid-mediated CTX-M-55 extended-spectrum beta-lactamase isolated from Enterobacteriaceae in China.	Hu X Gou J Guo X Cao Z Li Y Jiao H He X Ren Y Tian F	2018 Mar 23	10.1186/s12941-018-0265-x [doi] 10.1186/s12941-018-0265-x [pii]
Occurrence of blaNDM Variants Among Enterobacteriaceae From a Neonatal Intensive Care Unit in a Northern India Hospital.	Ahmad N Khalid S Ali SM Khan AU	2018	10.3389/fmicb.2018.00407 [doi]
Genetic Environment of blaTEM-1, blaCTX-M-15, blaCMY-42 and Characterization of Integrons of Escherichia coli Isolated From an Indian Urban Aquatic Environment.	Singh NS Singhal N Virdi JS	2018	10.3389/fmicb.2018.00382 [doi]
Plasmid-Mediated Quinolone Resistance in Shigella flexneri Isolated From Macaques.	Mannion AJ Martin HR Shen Z Buckley EM Dzink-Fox JL Garcia A Marini RP Patterson MM Fox JG	2018	10.3389/fmicb.2018.00311 [doi]
Immunization with outer membrane vesicles displaying conserved surface polysaccharide antigen elicits broadly antimicrobial antibodies.	Stevenson TC Cywes-Bentley C Moeller TD Weyant KB Putnam D Chang YF Jones BD Pier GB DeLisa MP	2018 Apr 3	1718341115 [pii] 10.1073/pnas.1718341115 [doi]
Improving acarbose production and eliminating the by-product component C with an efficient genetic manipulation system of Actinoplanes sp. SE50/110.	Zhao Q Xie H Peng Y Wang X Bai L	2017 Dec	10.1016/j.synbio.2017.11.005 [doi] S2405-805X(17)30078-9 [pii]
An efficient antimicrobial depot for infectious site-targeted chemo-photothermal therapy.	Liu M He D Yang T Liu W Mao L Zhu Y Wu J Luo G Deng J	2018 Mar 16	10.1186/s12951-018-0348-z [doi] 10.1186/s12951-018-0348-z [pii]
Total Synthesis of Ripostatin B and Structure-Activity Relationship Studies on Ripostatin Analogs.	Glaus F Dedic D Tare P Nagaraja V Rodrigues L Ainsa JA Kunze J Schneider G Hartkoorn RC Cole ST Altmann KH	2018 Jul 6	10.1021/acs.joc.8b00193 [doi]
Characterization of the glutathione S-transferases that belong to the GSTFuA class in Ceriporiopsis subvermispora: Implications in intracellular detoxification and metabolism of wood-derived compounds.	Osman WHW Lin MI Kondo K Nagata T Katahira M	2018 Jul 1	S0141-8130(17)33097-0 [pii] 10.1016/j.ijbiomac.2018.03.029 [doi]
High diversity of genes and plasmids encoding resistance to third-generation cephalosporins and quinolones in clinical Escherichia coli from commercial poultry flocks in Italy.	Niero G Bortolaia V Vanni M Intorre L Guardabassi L Piccirillo A	2018 Mar	S0378-1135(17)31112-4 [pii] 10.1016/j.vetmic.2018.02.012 [doi]
Molecular epidemiology of NDM-1- and OXA-48-producing Klebsiella pneumoniae in an Iranian hospital: clonal dissemination of ST11 and ST893.	Solgi H Badmasti F Giske CG Aghamohammad S Shahcheraghi F	2018 Jun 1	4922694 [pii] 10.1093/jac/dky081 [doi]
Occurrence of blaCMY-42 on an IncI1 plasmid in multidrug-resistant Escherichia coli from a tertiary referral hospital in India.	Ingti B Saikia P Paul D Maurya AP Dhar Chanda D Chakravarty A Deshamukhya C Bhattacharjee A	2018 Sep	S2213-7165(18)30049-3 [pii] 10.1016/j.jgar.2018.02.021 [doi]
Multidrug-resistant Shigella sonnei carrying the plasmid-mediated mcr-1 gene in China.	Ma Q Huang Y Wang J Xu X Hawkey J Yang C Liang B Hu X Wu F Yang X Wang J Li R Li P Xie J Jia L Wang L Hao R Tong Y Holt KE Qiu S Sun Y Song H	2018 Jul	S0924-8579(18)30057-8 [pii] 10.1016/j.ijantimicag.2018.02.019 [doi]
A Gene Homologous to rRNA Methylase Genes Confers Erythromycin and Clindamycin Resistance in Bifidobacterium breve.	Martinez N Luque R Milani C Ventura M Banuelos O Margolles A	2018 May 15	AEM.02888-17 [pii] 10.1128/AEM.02888-17 [doi]
Transferable Plasmid-Borne mcr-1 in a Colistin-Resistant Shigella flexneri Isolate.	Liang B Roberts AP Xu X Yang C Yang X Wang J Yi S Li Y Ma Q Wu F Qiu S Song H	2018 Apr 15	AEM.02655-17 [pii] 10.1128/AEM.02655-17 [doi]
blaIMP-27 on transferable plasmids in Proteus mirabilis and Providencia rettgeri.	Potter RF Wallace MA McMullen AR Prusa J Stallings CL Burnham CAD Dantas G	2018 Sep	S1198-743X(18)30193-9 [pii] 10.1016/j.cmi.2018.02.018 [doi]
Evaluation of resistance gene transfer from heat-treated Escherichia coli.	Le Devendec L Jouy E Kempf I	2018 Apr 2	S0168-1605(18)30070-9 [pii] 10.1016/j.ijfoodmicro.2018.02.019 [doi]
Sub-inhibitory concentrations of heavy metals facilitate the horizontal transfer of plasmid-mediated antibiotic resistance genes in water environment.	Zhang Y Gu AZ Cen T Li X He M Li D Chen J	2018 Jun	S0269-7491(17)34359-2 [pii] 10.1016/j.envpol.2018.01.032 [doi]
Regeneration of Escherichia coli from Minicells through Lateral Gene Transfer.	Kobayashi H	2018 May 1	JB.00630-17 [pii] 10.1128/JB.00630-17 [doi]
Mutation in ESBL Plasmid from Escherichia coli O104:H4 Leads Autoagglutination and Enhanced Plasmid Dissemination.	Poidevin M Sato M Altinoglu I Delaplace M Sato C Yamaichi Y	2018	10.3389/fmicb.2018.00130 [doi]
Microbial infection pattern, pathogenic features and resistance mechanism of carbapenem-resistant Gram negative bacilli during long-term hospitalization.	Wen S Feng D Lu Z Liu J Peters BM Tang H Su D Lin YP Yang L Xu Z Shirtliff ME Chen D	2018 Apr	S0882-4010(17)31759-X [pii] 10.1016/j.micpath.2018.02.025 [doi]
Study of pandrug and heavy metal resistance among E. coli from anthropogenically influenced Delhi stretch of river Yamuna.	Azam M Jan AT Kumar A Siddiqui K Mondal AH Haq QMR	2018 Jul - Sep	S1517-8382(16)30975-3 [pii] 10.1016/j.bjm.2017.11.001 [doi]
Construction and Characterization of Cell-Penetrating Peptide-Fused Fibroblast Growth Factor and Vascular Endothelial Growth Factor for an Enhanced Percutaneous Delivery System.	Choi SW Pangeni R Jung DH Kim SJ Park JW	2018 Feb 1	10.1166/jnn.2018.14864 [doi]
A serine carboxypeptidase-like acyltransferase catalyzes synthesis of indole-3-acetic (IAA) ester conjugate in rice (Oryza sativa).	Ciarkowska A Ostrowski M Jakubowska A	2018 Apr	S0981-9428(18)30059-7 [pii] 10.1016/j.plaphy.2018.02.007 [doi]
Prevalence and molecular characterization of oqxAB in clinical Escherichia coli isolates from companion animals and humans in Henan Province, China.	Liu B Wu H Zhai Y He Z Sun H Cai T He D Liu J Wang S Pan Y Yuan L Hu G	2018	10.1186/s13756-018-0310-8 [doi] 310 [pii]
Molecular diversity and conjugal transferability of class 2 integrons among Escherichia coli isolates from food, animal and human sources.	Alonso CA Cortes-Cortes G Maamar E Masso M Rocha-Gracia RDC Torres C Centron D Quiroga MP	2018 Jun	S0924-8579(18)30039-6 [pii] 10.1016/j.ijantimicag.2018.02.001 [doi]
Horizontal transfer of class 1 integrons from uropathogenic Escherichia coli to E. coli K12.	Poey ME Lavina M	2018 Apr	S0882-4010(17)31357-8 [pii] 10.1016/j.micpath.2018.02.006 [doi]
Efficient delivery of large DNA from Escherichia coli to Synechococcus elongatus PCC7942 by broad-host-range conjugal plasmid pUB307.	Itaya M Kusakabe H Sato M Tomita M Sato R	2018 Jul 1	4840641 [pii] 10.1093/jb/mvy026 [doi]
Cost-effective flow-through nanohole array-based biosensing platform for the label-free detection of uropathogenic E. coli in real time.	Gomez-Cruz J Nair S Manjarrez-Hernandez A Gavilanes-Parra S Ascanio G Escobedo C	2018 May 30	S0956-5663(18)30067-8 [pii] 10.1016/j.bios.2018.01.055 [doi]
A P7 Phage-Like Plasmid Carrying mcr-1 in an ST15 Klebsiella pneumoniae Clinical Isolate.	Zhou W Liu L Feng Y Zong Z	2018	10.3389/fmicb.2018.00011 [doi]
